Month,Year,Total Orders,Gross Sales,Discounts,Returns,Net Sales,Shipping,Total Sales,date
January,1970-01-01 00:00:00.000002017,73,8861.5,-129.4,-448.45,8283.65,1088.3,9371.95,January2017
February,1970-01-01 00:00:00.000002017,56,6908.5,-104.7,-416.2,6387.6,892.45,7280.05,February2017
March,1970-01-01 00:00:00.000002017,60,5778.5,-172.2,-1017.2,4589.1,707.43,5296.53,March2017
April,1970-01-01 00:00:00.000002017,70,8814.0,-281.4,0.0,8532.6,1068.3,9600.9,April2017
May,1970-01-01 00:00:00.000002017,54,6677.0,-185.75,-253.8,6237.45,866.46,7103.91,May2017
June,1970-01-01 00:00:00.000002017,68,9621.5,-234.45,-17.5,9369.55,1204.32,10573.87,June2017
July,1970-01-01 00:00:00.000002017,66,6480.0,-51.5,-469.2,5959.3,807.36,6766.66,July2017
August,1970-01-01 00:00:00.000002017,55,8025.0,-258.9,-26.0,7740.1,843.46,8583.56,August2017
September,1970-01-01 00:00:00.000002017,68,7075.0,-61.7,-281.0,6732.3,907.32,7639.62,September2017
October,1970-01-01 00:00:00.000002017,59,5720.0,-88.0,-305.0,5327.0,695.42,6022.42,October2017
November,1970-01-01 00:00:00.000002017,91,13025.0,-131.3,-323.85,12569.85,1555.1,14124.95,November2017
December,1970-01-01 00:00:00.000002017,116,10356.05,-149.85,-414.2,9792.0,1340.85,11132.85,December2017
January,1970-01-01 00:00:00.000002018,83,8923.0,-217.1,-26.25,8679.65,1180.18,9859.83,January2018
February,1970-01-01 00:00:00.000002018,69,6529.2,-161.35,-118.15,6249.7,908.91,7158.61,February2018
March,1970-01-01 00:00:00.000002018,64,7442.7,-226.82,-8.8,7207.08,1226.92,8434.0,March2018
April,1970-01-01 00:00:00.000002018,81,9406.35,-232.28,-40.0,9134.07,1387.56,10521.63,April2018
May,1970-01-01 00:00:00.000002018,82,7493.9,-221.25,-1448.02,5824.63,1234.95,7059.58,May2018
June,1970-01-01 00:00:00.000002018,124,13260.8,-335.4,-1506.53,11418.87,2124.49,13543.36,June2018
July,1970-01-01 00:00:00.000002018,102,9274.95,-237.87,-689.98,8347.1,1627.03,9974.13,July2018
August,1970-01-01 00:00:00.000002018,82,7698.7,-140.57,-197.35,7360.78,1404.03,8764.81,August2018
September,1970-01-01 00:00:00.000002018,79,10582.85,-276.15,0.0,10306.7,1634.33,11941.03,September2018
October,1970-01-01 00:00:00.000002018,71,7014.5,-277.95,-294.75,6441.8,1262.45,7704.25,October2018
November,1970-01-01 00:00:00.000002018,140,12002.7,-414.45,-154.4,11433.85,2237.05,13670.9,November2018
December,1970-01-01 00:00:00.000002018,164,13683.5,-371.2,-928.35,12383.95,2552.2,14936.15,December2018
January,1970-01-01 00:00:00.000002019,87,7811.75,-261.97,-1250.35,6299.43,1313.78,7615.91,January2019
February,1970-01-01 00:00:00.000002019,63,6523.7,-288.7,-38.7,6196.3,1121.85,7318.15,February2019
March,1970-01-01 00:00:00.000002019,99,13075.5,-439.85,-981.0,11654.65,2115.1,13769.75,March2019
April,1970-01-01 00:00:00.000002019,92,6977.0,-285.4,-10.0,6681.6,1342.45,8024.05,April2019
May,1970-01-01 00:00:00.000002019,96,10082.25,-460.9,-173.35,9448.0,1768.2,11216.2,May2019
June,1970-01-01 00:00:00.000002019,85,7321.75,-186.02,-165.4,6970.33,1356.8,8327.13,June2019
July,1970-01-01 00:00:00.000002019,94,9739.2,-447.07,-908.75,8383.38,1631.4,10014.78,July2019
August,1970-01-01 00:00:00.000002019,105,8839.5,-201.67,-84.37,8553.46,1724.75,10278.21,August2019
September,1970-01-01 00:00:00.000002019,88,9077.45,-354.89,-853.35,7869.21,1567.65,9436.86,September2019
October,1970-01-01 00:00:00.000002019,97,9132.25,-279.42,-1572.55,7280.28,1631.25,8911.53,October2019
November,1970-01-01 00:00:00.000002019,272,23997.9,-776.84,-364.51,22856.55,4824.75,27681.3,November2019
December,1970-01-01 00:00:00.000002019,342,31183.9,-2269.51,-1311.18,27603.21,5703.25,33306.46,December2019
